pm_id,title,pmc_id,authors,doi,keywords,mesh_ids,mesh_terms,project_serial_num,journal_name,publication_year
34270923,Mildly elevated pulmonary artery systolic pressure on echocardiography: bridging the gap in current guidelines.,PMC8936511,"""Jankowich M, Maron BA, Choudhary G""",doi:10.1016/S2213-2600(21)00072-2,,"""D001794, D004452, D015150, D006801, D006976, D011651""","""Blood Pressure, Echocardiography, Echocardiography, Doppler, Humans, Hypertension, Pulmonary, Pulmonary Artery""",HL119145,The Lancet. Respiratory medicine,2021
34038701,Association between Troponin I Levels during Sepsis and Postsepsis Cardiovascular Complications.,PMC8491250,"""Garcia MA, Rucci JM, Thai KK, Lu Y, Kipnis P, Go AS, Desai M, Bosch NA, Martinez A, Clancy H, Devis Y, Myers LC, Liu VX, Walkey AJ""",doi:10.1164/rccm.202103-0613OC,"""cardiovascular risk, infection, mortality, sepsis, troponin""","""D000328, D000368, D000369, D015415, D015331, D005260, D006331, D006801, D008297, D008875, D012189, D018570, D012307, D018805, D017741, D013997, D019210, D014481""","""Adult, Aged, Aged, 80 and over, Biomarkers, Cohort Studies, Female, Heart Diseases, Humans, Male, Middle Aged, Retrospective Studies, Risk Assessment, Risk Factors, Sepsis, Survivors, Time Factors, Troponin I, United States""",HL119145,American journal of respiratory and critical care medicine,2021
33988876,Inhibition of inflammatory pain and cough by a novel charged sodium channel blocker.,PMC8643097,"""Tochitsky I, Jo S, Andrews N, Kotoda M, Doyle B, Shim J, Talbot S, Roberson D, Lee J, Haste L, Jordan SM, Levy BD, Bean BP, Woolf CJ""",doi:10.1111/bph.15531,"""QX-314, TRPV1, cough, local anesthetic, nociceptor, pain, sodium channel""","""D000818, D003371, D006168, D051379, D009619, D010146, D051381, D026941, D050916""","""Animals, Cough, Guinea Pigs, Mice, Nociceptors, Pain, Rats, Sodium Channel Blockers, TRPV Cation Channels""",HL119145,British journal of pharmacology,2021
33906951,Network medicine framework for identifying drug-repurposing opportunities for COVID-19.,PMC8126852,"""Morselli Gysi D, do Valle Í, Zitnik M, Ameli A, Gan X, Varol O, Ghiassian SD, Patten JJ, Davey RA, Loscalzo J, Barabási AL""",doi:10.1073/pnas.2025581118,"""drug repurposing, infectious diseases, network medicine, systems biology""","""D000818, D000998, D002522, D062313, D058492, D006801, D016571, D011485, D049490, D014709, D014764, D000093485""","""Animals, Antiviral Agents, Chlorocebus aethiops, Databases, Pharmaceutical, Drug Repositioning, Humans, Neural Networks, Computer, Protein Binding, Systems Biology, Vero Cells, Viral Proteins, COVID-19 Drug Treatment""",HL119145,Proceedings of the National Academy of Sciences of the United States of America,2021
33890812,Immunometabolic Endothelial Phenotypes: Integrating Inflammation and Glucose Metabolism.,PMC8221540,"""Xiao W, Oldham WM, Priolo C, Pandey AK, Loscalzo J""",doi:10.1161/CIRCRESAHA.120.318805,"""endothelial cells, glucose, glycolysis, inflammation, mitochondria""","""D000818, D018920, D042783, D004734, D005786, D005947, D006019, D006801, D007249, D018836, D007700, D036904, D007962, D008070, D008297, D055442, D055432, D008810, D010085, D010641, D000074084, D014409""","""Animals, Coculture Techniques, Endothelial Cells, Energy Metabolism, Gene Expression Regulation, Glucose, Glycolysis, Humans, Inflammation, Inflammation Mediators, Kinetics, Leukocyte Rolling, Leukocytes, Lipopolysaccharides, Male, Metabolome, Metabolomics, Mice, Inbred C57BL, Oxidative Phosphorylation, Phenotype, THP-1 Cells, Tumor Necrosis Factor-alpha""",HL119145,Circulation research,2021
33861689,"Pulmonary Arterial Hypertension: Diagnosis, Treatment, and Novel Advances.",PMC8483220,"""Maron BA, Abman SH, Elliott CG, Frantz RP, Hopper RK, Horn EM, Nicolls MR, Shlobin OA, Shah SJ, Kovacs G, Olschewski H, Rosenzweig EB""",doi:10.1164/rccm.202012-4317SO,"""pulmonary arterial hypertension, pulmonary hypertension, risk stratification, treatment""","""D000328, D000368, D000369, D006328, D006348, D042241, D005260, D006801, D008297, D008875, D000081029, D012307, D035703""","""Adult, Aged, Aged, 80 and over, Cardiac Catheterization, Cardiac Surgical Procedures, Early Diagnosis, Female, Humans, Male, Middle Aged, Pulmonary Arterial Hypertension, Risk Factors, Therapies, Investigational""",HL119145,American journal of respiratory and critical care medicine,2021
33856918,COVID-19 and Cardiovascular Disease: From Bench to Bedside.,PMC8048382,"""Chung MK, Zidar DA, Bristow MR, Cameron SJ, Chan T, Harding CV 3rd, Kwon DH, Singh T, Tilton JC, Tsai EJ, Tucker NR, Barnard J, Loscalzo J""",doi:10.1161/CIRCRESAHA.121.317997,"""COVID-19, angiotensin-converting enzyme 2, inflammation, magnetic resonance imaging, thrombosis""","""D000085962, D015415, D000086382, D009202, D002318, D015870, D006801, D007107, D009206, D032383, D039942, D015539, D012333, D012084, D000068958, D012307, D000086402, D064370, D014336, D020257, D053585, D053586""","""Angiotensin-Converting Enzyme 2, Biomarkers, COVID-19, Cardiomyopathies, Cardiovascular Diseases, Gene Expression, Humans, Immune System, Myocardium, Myocytes, Cardiac, Neuropilin-1, Platelet Activation, RNA, Messenger, Renin-Angiotensin System, Return to Sport, Risk Factors, SARS-CoV-2, Spike Glycoprotein, Coronavirus, Troponin, Ventricular Remodeling, Virus Attachment, Virus Internalization""",HL119145,Circulation research,2021
33833034,Integrating haemodynamics identifies an extreme pulmonary hypertension phenotype.,PMC8529828,"""Oldham WM, Hess E, Waldo SW, Humbert M, Choudhary G, Maron BA""",doi:10.1183/13993003.04625-2020,,"""D017079, D006439, D006801, D006976, D010641""","""Exercise Tolerance, Hemodynamics, Humans, Hypertension, Pulmonary, Phenotype""",HL119145,The European respiratory journal,2021
37117448,Network medicine framework shows that proximity of polyphenol targets and disease proteins predicts therapeutic effects of polyphenols.,,"""do Valle IF, Roweth HG, Malloy MW, Moco S, Barron D, Battinelli E, Loscalzo J, Barabási AL""",doi:10.1038/s43016-021-00243-7,,,,HL119145,Nature food,2021
33558758,Comprehensive characterization of protein-protein interactions perturbed by disease mutations.,PMC8237108,"""Cheng F, Zhao J, Wang Y, Lu W, Liu Z, Zhou Y, Martin WR, Wang R, Huang J, Hao T, Yue H, Ma J, Hou Y, Castrillon JA, Fang J, Lathia JD, Keri RA, Lightstone FC, Antman EM, Rabadan R, Hill DE, Eng C, Vidal M, Loscalzo J""",doi:10.1038/s41588-020-00774-y,,"""D001094, D001120, D019295, D004194, D015894, D006657, D006801, D009154, D009369, D000071185, D000071449, D060066, D011973, D015203, D012694, D062948, D020742""","""Arachidonate 5-Lipoxygenase, Arginine, Computational Biology, Disease, Genome, Human, Histones, Humans, Mutation, Neoplasms, Pharmacogenomic Testing, Proprotein Convertase 9, Protein Interaction Maps, Receptors, LDL, Reproducibility of Results, Serine, rho Guanine Nucleotide Dissociation Inhibitor alpha, rhoA GTP-Binding Protein""",HL119145,Nature genetics,2021
33558530,Individualized interactomes for network-based precision medicine in hypertrophic cardiomyopathy with implications for other clinical pathophenotypes.,PMC7870822,"""Maron BA, Wang RS, Shevtsov S, Drakos SG, Arons E, Wever-Pinzon O, Huggins GS, Samokhin AO, Oldham WM, Aguib Y, Yacoub MH, Rowin EJ, Maron BJ, Maron MS, Loscalzo J""",doi:10.1038/s41467-021-21146-y,,"""D002312, D016022, D015331, D058068, D005355, D053263, D006333, D006801, D010641, D057285, D060066, D015398, D059467""","""Cardiomyopathy, Hypertrophic, Case-Control Studies, Cohort Studies, Endophenotypes, Fibrosis, Gene Regulatory Networks, Heart Failure, Humans, Phenotype, Precision Medicine, Protein Interaction Maps, Signal Transduction, Transcriptome""",HL119145,Nature communications,2021
33555777,Outcomes of Patients With Coronavirus Disease 2019 Receiving Organ Support Therapies: The International Viral Infection and Respiratory Illness Universal Study Registry.,PMC9520995,"""Domecq JP, Lal A, Sheldrick CR, Kumar VK, Boman K, Bolesta S, Bansal V, Harhay MO, Garcia MA, Kaufman M, Danesh V, Cheruku S, Banner-Goodspeed VM, Anderson HL 3rd, Milligan PS, Denson JL, St Hill CA, Dodd KW, Martin GS, Gajic O, Walkey AJ, Kashyap R""",doi:10.1097/CCM.0000000000004879,,"""D000328, D000368, D000086382, D000066891, D015199, D005260, D017052, D006760, D006801, D007902, D008297, D008875, D010351, D012042, D017582, D012121, D014662""","""Adult, Aged, COVID-19, Critical Care Outcomes, Extracorporeal Membrane Oxygenation, Female, Hospital Mortality, Hospitalization, Humans, Length of Stay, Male, Middle Aged, Patient Discharge, Registries, Renal Replacement Therapy, Respiration, Artificial, Vasoconstrictor Agents""",HL119145,Critical care medicine,2021
33523764,NEDD9 Is a Novel and Modifiable Mediator of Platelet-Endothelial Adhesion in the Pulmonary Circulation.,PMC8483217,"""Alba GA, Samokhin AO, Wang RS, Zhang YY, Wertheim BM, Arons E, Greenfield EA, Lundberg Slingsby MH, Ceglowski JR, Haley KJ, Bowman FP, Yu YR, Haney JC, Eng G, Mitchell RN, Sheets A, Vargas SO, Seo S, Channick RN, Leary PJ, Rajagopal S, Loscalzo J, Battinelli EM, Maron BA""",doi:10.1164/rccm.202003-0719OC,"""hypoxia, platelets, thrombosis""","""D048868, D000818, D001792, D002448, D002478, D042783, D005260, D006801, D000860, D008297, D051379, D008875, D023421, D011652, D011655, D015398""","""Adaptor Proteins, Signal Transducing, Animals, Blood Platelets, Cell Adhesion, Cells, Cultured, Endothelial Cells, Female, Humans, Hypoxia, Male, Mice, Middle Aged, Models, Animal, Pulmonary Circulation, Pulmonary Embolism, Signal Transduction""",HL119145,American journal of respiratory and critical care medicine,2021
33243385,Cardiopulmonary Hemodynamics in Pulmonary Hypertension and Heart Failure: JACC Review Topic of the Week.,PMC7703679,"""Maron BA, Kovacs G, Vaidya A, Bhatt DL, Nishimura RA, Mak S, Guazzi M, Tedford RJ""",doi:10.1016/j.jacc.2020.10.007,"""heart failure, hemodynamics, pulmonary hypertension""","""D006333, D006439, D006801, D006976, D018570""","""Heart Failure, Hemodynamics, Humans, Hypertension, Pulmonary, Risk Assessment""",HL119145,Journal of the American College of Cardiology,2020
33165538,Network medicine in Cardiovascular Research.,PMC8404464,"""Lee LY, Pandey AK, Maron BA, Loscalzo J""",doi:10.1093/cvr/cvaa321,"""Cardiovascular disease, Network medicine, Omics, Pathobiology, Precision medicine""","""D000818, D015415, D035843, D002317, D002318, D019295, D058492, D020869, D053263, D056726, D006801, D057285, D011237, D011379, D060066, D020543, D040901, D018570, D012307, D015398, D049490, D059467""","""Animals, Biomarkers, Biomedical Research, Cardiovascular Agents, Cardiovascular Diseases, Computational Biology, Drug Repositioning, Gene Expression Profiling, Gene Regulatory Networks, Genetic Association Studies, Humans, Precision Medicine, Predictive Value of Tests, Prognosis, Protein Interaction Maps, Proteome, Proteomics, Risk Assessment, Risk Factors, Signal Transduction, Systems Biology, Transcriptome""",HL119145,Cardiovascular research,2021
33050894,Importance of scientific collaboration in contemporary drug discovery and development: a detailed network analysis.,PMC7556984,"""Cheng F, Ma Y, Uzzi B, Loscalzo J""",doi:10.1186/s12915-020-00868-3,"""Cardiovascular disease, Collaboration network, Drug discovery, Network analysis, PCSK9, Scientific collaboration, TNF inhibitors""","""D035843, D002317, D000076722, D055808, D004345, D000083482""","""Biomedical Research, Cardiovascular Agents, Drug Development, Drug Discovery, Drug Industry, Social Network Analysis""",HL119145,BMC biology,2020
33046794,Early-pregnancy transcriptome signatures of preeclampsia: from peripheral blood to placenta.,PMC7550614,"""Yadama AP, Maiorino E, Carey VJ, McElrath TF, Litonjua AA, Loscalzo J, Weiss ST, Mirzakhani H""",doi:10.1038/s41598-020-74100-1,,"""D000328, D001249, D015992, D018925, D005260, D006801, D010920, D011225, D011247, D011261, D011262, D059467, D014807, D014808, D055815""","""Adult, Asthma, Body Mass Index, Chemokines, Female, Humans, Placenta, Pre-Eclampsia, Pregnancy, Pregnancy Trimester, First, Pregnancy Trimester, Second, Transcriptome, Vitamin D, Vitamin D Deficiency, Young Adult""",HL119145,Scientific reports,2020
33016102,Role of Pulmonary Artery Wedge Pressure Saturation During Right Heart Catheterization: A Prospective Study.,PMC7674188,"""Viray MC, Bonno EL, Gabrielle ND, Maron BA, Atkins J, Amoroso NS, Fernandes VLC, Maran A, Nielsen CD, Powers ER, Steinberg DH, Todoran TM, Di Salvo TG, Jackson GR, Houston BA, Tedford RJ""",doi:10.1161/CIRCHEARTFAILURE.120.007981,"""heart failure, hemodynamics, oxyhemoglobin, pulmonary artery wedge pressure, pulmonary hypertension, right heart catheterization""","""D000328, D000368, D006328, D005260, D006801, D006976, D008297, D008875, D011237, D011446, D011651, D011669, D015203""","""Adult, Aged, Cardiac Catheterization, Female, Humans, Hypertension, Pulmonary, Male, Middle Aged, Predictive Value of Tests, Prospective Studies, Pulmonary Artery, Pulmonary Wedge Pressure, Reproducibility of Results""",HL119145,Circulation. Heart failure,2020
32835810,Ideation and assessment of a nitric oxide delivery system for spontaneously breathing subjects.,PMC7441999,"""Gianni S, Morais CCA, Larson G, Pinciroli R, Carroll R, Yu B, Zapol WM, Berra L""",doi:10.1016/j.niox.2020.08.004,"""Delivery system, Nitric oxide, Nitrogen dioxide""","""D000280, D000328, D016503, D005260, D006801, D008297, D009569, D012119""","""Administration, Inhalation, Adult, Drug Delivery Systems, Female, Humans, Male, Nitric Oxide, Respiration""",HL119145,Nitric oxide : biology and chemistry,2020
32798637,Hyperbaric polymer microcapsules for tunable oxygen delivery.,,"""Nguyen T, Peng Y, Seekell RP, Kheir JN, Polizzotti BD""",doi:10.1016/j.jconrel.2020.08.003,"""Delivery, Hyperbaric, Hypoxia, Microcapsule, Oxygen, Polymers, Pressurization""","""D001672, D002214, D010100, D011108""","""Biocompatible Materials, Capsules, Oxygen, Polymers""",HL119145,Journal of controlled release : official journal of the Controlled Release Society,2020
32663413,PR1P Stabilizes VEGF and Upregulates Its Signaling to Reduce Elastase-induced Murine Emphysema.,PMC7528927,"""Adini A, Wu H, Dao DT, Ko VH, Yu LJ, Pan A, Puder M, Mitiku SZ, Potla R, Chen H, Rice JM, Matthews BD""",doi:10.1165/rcmb.2019-0434OC,"""LPS, Prominin-1–derived peptide, apoptosis, emphysema, vascular endothelial growth factor""","""D000818, D017209, D003198, D004195, D042783, D005260, D008168, D051379, D008809, D010196, D010455, D011650, D011656, D015398, D012906, D015854, D042461, D040301""","""Animals, Apoptosis, Computer Simulation, Disease Models, Animal, Endothelial Cells, Female, Lung, Mice, Mice, Inbred C3H, Pancreatic Elastase, Peptides, Pulmonary Alveoli, Pulmonary Emphysema, Signal Transduction, Smoke, Up-Regulation, Vascular Endothelial Growth Factor A, Vascular Endothelial Growth Factor Receptor-2""",HL119145,American journal of respiratory cell and molecular biology,2020
32646896,Adding an important piece to the pulmonary vascular resistance puzzle in pulmonary arterial hypertension.,PMC8211403,"""Maron BA, Humbert M""",doi:10.1183/13993003.00962-2020,,"""D065627, D006801, D006976, D000081029, D014655""","""Familial Primary Pulmonary Hypertension, Humans, Hypertension, Pulmonary, Pulmonary Arterial Hypertension, Vascular Resistance""",HL119145,The European respiratory journal,2020
32638415,Network determinants of cardiovascular calcification and repositioned drug treatments.,PMC7497212,"""Song E, Wang RS, Leopold JA, Loscalzo J""",doi:10.1096/fj.202001062R,"""blood vessel, calcification, protein interaction, smooth muscle cell, therapeutics""","""D002114, D002478, D003331, D005355, D006801, D007249, D009131, D032389, D004364, D013927, D061205""","""Calcinosis, Cells, Cultured, Coronary Vessels, Fibrosis, Humans, Inflammation, Muscle, Smooth, Vascular, Myocytes, Smooth Muscle, Pharmaceutical Preparations, Thrombosis, Vascular Calcification""",HL119145,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2020
32552164,"Perspectives on Cardiopulmonary Critical Care for Patients With COVID-19: From Members of the American Heart Association Council on Cardiopulmonary, Critical Care, Perioperative and Resuscitation.",PMC7660729,"""Maron BA, Gladwin MT, Bonnet S, De Jesus Perez V, Perman SM, Yu PB, Ichinose F""",doi:10.1161/JAHA.120.017111,"""COVID‐19, pulmonary heart disease, shock""","""D000998, D000073640, D000086382, D018352, D003422, D000076662, D006801, D017758, D008168, D016273, D016272, D058873, D010356, D061214, D011024, D012138, D018570, D012307, D000086402, D016896, D014774, D000093485""","""Antiviral Agents, Betacoronavirus, COVID-19, Coronavirus Infections, Critical Care, Host Microbial Interactions, Humans, Infectious Disease Transmission, Patient-to-Professional, Lung, Occupational Exposure, Occupational Health, Pandemics, Patient Isolation, Patient Safety, Pneumonia, Viral, Respiratory Therapy, Risk Assessment, Risk Factors, SARS-CoV-2, Treatment Outcome, Virulence, COVID-19 Drug Treatment""",HL119145,Journal of the American Heart Association,2020
32550253,Network Medicine Framework for Identifying Drug Repurposing Opportunities for COVID-19.,PMC7280907,"""Gysi DM, Valle ÍD, Zitnik M, Ameli A, Gan X, Varol O, Ghiassian SD, Patten JJ, Davey R, Loscalzo J, Barabási AL""",,,,,HL119145,ArXiv,2020
32453600,Clarifying the Pulmonary Arterial Hypertension Molecular Landscape Using Functional Genetics.,PMC7427395,"""Maron BA""",doi:10.1164/rccm.202004-1411ED,,"""D065627, D006801, D006976, D000081029, D012313""","""Familial Primary Pulmonary Hypertension, Humans, Hypertension, Pulmonary, Pulmonary Arterial Hypertension, RNA""",HL119145,American journal of respiratory and critical care medicine,2020
32307915,Molecular networks in Network Medicine: Development and applications.,PMC7955589,"""Silverman EK, Schmidt HHHW, Anastasiadou E, Altucci L, Angelini M, Badimon L, Balligand JL, Benincasa G, Capasso G, Conte F, Di Costanzo A, Farina L, Fiscon G, Gatto L, Gentili M, Loscalzo J, Marchese C, Napoli C, Paci P, Petti M, Quackenbush J, Tieri P, Viggiano D, Vilahur G, Glass K, Baumbach J""",doi:10.1002/wsbm.1489,"""big data, molecular networks, network medicine""","""D000818, D001499, D019295, D003327, D004195, D057890, D053263, D006801, D060066""","""Animals, Bayes Theorem, Computational Biology, Coronary Disease, Disease Models, Animal, Epigenomics, Gene Regulatory Networks, Humans, Protein Interaction Maps""",HL119145,Wiley interdisciplinary reviews. Systems biology and medicine,2020
32287042,Proinflammatory P2Y14 receptor inhibition protects against ischemic acute kidney injury in mice.,PMC7324186,"""Battistone MA, Mendelsohn AC, Spallanzani RG, Allegretti AS, Liberman RN, Sesma J, Kalim S, Wall SM, Bonventre JV, Lazarowski ER, Brown D, Breton S""",doi:10.1172/JCI134791,"""Cellular immune response, Inflammation, Monocytes, Nephrology, Neutrophils""","""D058186, D000818, D018925, D007511, D007668, D051379, D018345, D009000, D020556, D009504, D058470""","""Acute Kidney Injury, Animals, Chemokines, Ischemia, Kidney, Mice, Mice, Knockout, Monocytes, Neutrophil Infiltration, Neutrophils, Receptors, Purinergic P2Y""",HL119145,The Journal of clinical investigation,2020
31982629,"Intratracheal injection of nitric oxide, generated from air by pulsed electrical discharge, for the treatment of pulmonary hypertension in awake ambulatory lambs.",PMC7046177,"""Yu B, Zadek F, Fischbach A, Wiegand SB, Berra L, Bloch DB, Zapol WM""",doi:10.1016/j.niox.2020.01.009,"""Inhaled nitric oxide, Pulmonary hypertension, Pulsed electrical discharge, Transtracheal scoop catheter, Vasodilation""","""D019796, D000280, D000388, D000818, D004560, D006976, D007262, D009569, D012756, D014132, D014664, D014851""","""15-Hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic Acid, Administration, Inhalation, Air, Animals, Electricity, Hypertension, Pulmonary, Infusions, Intravenous, Nitric Oxide, Sheep, Trachea, Vasodilation, Wakefulness""",HL119145,Nitric oxide : biology and chemistry,2020
34123272,Target identification among known drugs by deep learning from heterogeneous networks.,PMC8150105,"""Zeng X, Zhu S, Lu W, Liu Z, Huang J, Zhou Y, Fang J, Huang Y, Guo H, Li L, Trapp BD, Nussinov R, Eng C, Loscalzo J, Cheng F""",doi:10.1039/c9sc04336e,,,,HL119145,Chemical science,2020
31895052,The application of big data to cardiovascular disease: paths to precision medicine.,PMC6934200,"""Leopold JA, Maron BA, Loscalzo J""",doi:10.1172/JCI129203,,"""D000077558, D002318, D002986, D057286, D055106, D005838, D006801, D010641, D057285""","""Big Data, Cardiovascular Diseases, Clinical Trials as Topic, Electronic Health Records, Genome-Wide Association Study, Genotype, Humans, Phenotype, Precision Medicine""",HL119145,The Journal of clinical investigation,2020
34845389,Real-time alerting system for COVID-19 and other stress events using wearable data.,PMC8799466,"""Alavi A, Bogu GK, Wang M, Rangan ES, Brooks AW, Wang Q, Higgs E, Celli A, Mishra T, Metwally AA, Cha K, Knowles P, Alavi AA, Bhasin R, Panchamukhi S, Celis D, Aditya T, Honkala A, Rolnik B, Hunting E, Dagan-Rosenfeld O, Chauhan A, Li JW, Bejikian C, Krishnan V, McGuire L, Li X, Bahmani A, Snyder MP""",doi:10.1038/s41591-021-01593-2,,"""D061725, D000293, D000328, D000368, D000369, D000086382, D002353, D042241, D015444, D005260, D000072936, D006339, D006801, D008297, D008875, D000086402, D012890, D000076251, D055815""","""Accelerometry, Adolescent, Adult, Aged, Aged, 80 and over, COVID-19, Carrier State, Early Diagnosis, Exercise, Female, Fitness Trackers, Heart Rate, Humans, Male, Middle Aged, SARS-CoV-2, Sleep, Wearable Electronic Devices, Young Adult""",NR020105,Nature medicine,2022
34189532,Real-time Alerting System for COVID-19 Using Wearable Data.,PMC8240687,"""Alavi A, Bogu GK, Wang M, Rangan ES, Brooks AW, Wang Q, Higgs E, Celli A, Mishra T, Metwally AA, Cha K, Knowles P, Alavi AA, Bhasin R, Panchamukhi S, Celis D, Aditya T, Honkala A, Rolnik B, Hunting E, Dagan-Rosenfeld O, Chauhan A, Li JW, Li X, Bahmani A, Snyder MP""",doi:10.1101/2021.06.13.21258795,,,,NR020105,medRxiv : the preprint server for health sciences,2021
36908948,Peptide valence-induced breaks in plasmonic coupling.,PMC9993903,"""Chang YC, Jin Z, Li K, Zhou J, Yim W, Yeung J, Cheng Y, Retout M, Creyer MN, Fajtová P, He T, Chen X, ""ODonoghue AJ"", Jokerst JV""",doi:10.1039/d2sc05837e,,,,DE031114,Chemical science,2023
36753444,Protease-Responsive Potential-Tunable AIEgens for Cell Selective Imaging of TMPRSS2 and Accurate Inhibitor Screening.,,"""Cheng Y, Clark AE, Yim W, Borum RM, Chang YC, Jin Z, He T, Carlin AF, Jokerst JV""",doi:10.1021/acs.analchem.2c04988,,"""D006801, D010447, D000086382, D000086402, D002462, D011480, D053586, D012697""","""Humans, Peptide Hydrolases, COVID-19, SARS-CoV-2, Cell Membrane, Protease Inhibitors, Virus Internalization, Serine Endopeptidases""",DE031114,Analytical chemistry,2023
36409652,Peptide Amphiphile Mediated Co-assembly for Nanoplasmonic Sensing.,PMC9852014,"""Jin Z, Li Y, Li K, Zhou J, Yeung J, Ling C, Yim W, He T, Cheng Y, Xu M, Creyer MN, Chang YC, Fajtová P, Retout M, Qi B, Li S, ""ODonoghue AJ"", Jokerst JV""",doi:10.1002/anie.202214394,"""Aromatic Interactions, Colorimetric Test, Main Protease, Peptide Amphiphile, Saliva""","""D006801, D000086382, D000086402, D010455, D010447, D013501, D010450, D006046""","""Humans, COVID-19, SARS-CoV-2, Peptides, Peptide Hydrolases, Surface-Active Agents, Endopeptidases, Gold""",DE031114,Angewandte Chemie (International ed. in English),2023
36351199,Gold-Silver Core-Shell Nanoparticle Crosslinking Mediated by Protease Activity for Colorimetric Enzyme Detection.,,"""Creyer MN, Jin Z, Retout M, Yim W, Zhou J, Jokerst JV""",doi:10.1021/acs.langmuir.2c02219,,"""D006046, D012834, D003124, D053768, D059748, D020349, D010447""","""Gold, Silver, Colorimetry, Metal Nanoparticles, Proteolysis, Surface Plasmon Resonance, Peptide Hydrolases""",DE031114,Langmuir : the ACS journal of surfaces and colloids,2022
36346642,Spacer Matters: All-Peptide-Based Ligand for Promoting Interfacial Proteolysis and Plasmonic Coupling.,,"""Jin Z, Ling C, Li Y, Zhou J, Li K, Yim W, Yeung J, Chang YC, He T, Cheng Y, Fajtová P, Retout M, ""ODonoghue AJ"", Jokerst JV""",doi:10.1021/acs.nanolett.2c03052,"""NEST, SARS-CoV-2 Mpro, colorimetric sensor, interfacial proteolysis, plasmonic coupling, polyproline""","""D006801, D006046, D053768, D020349, D008024, D000086402, D000086382, D010455""","""Humans, Gold, Metal Nanoparticles, Surface Plasmon Resonance, Ligands, SARS-CoV-2, COVID-19, Peptides""",DE031114,Nano letters,2022
36346346,Di-Arginine Additives for Dissociation of Gold Nanoparticle Aggregates: A Matrix-Insensitive Approach with Applications in Protease Detection.,PMC10464667,"""Retout M, Jin Z, Tsujimoto J, Mantri Y, Borum R, Creyer MN, Yim W, He T, Chang YC, Jokerst JV""",doi:10.1021/acsami.2c17531,"""PEG, colorimetric detection, gold nanoparticles, peptides, protease sensing, reversible assembly""","""D006046, D053768, D010447, D001120, D011092, D013438, D010455""","""Gold, Metal Nanoparticles, Peptide Hydrolases, Arginine, Polyethylene Glycols, Sulfhydryl Compounds, Peptides""",DE031114,ACS applied materials & interfaces,2022
35973073,A Self-Immolative Fluorescent Probe for Selective Detection of SARS-CoV-2 Main Protease.,PMC9396966,"""Xu M, Zhou J, Cheng Y, Jin Z, Clark AE, He T, Yim W, Li Y, Chang YC, Wu Z, Fajtová P, ""ODonoghue AJ"", Carlin AF, Todd MD, Jokerst JV""",doi:10.1021/acs.analchem.2c02381,,"""D000086382, D000086782, D005456, D006801, D000086402""","""COVID-19, Coronavirus 3C Proteases, Fluorescent Dyes, Humans, SARS-CoV-2""",DE031114,Analytical chemistry,2022
35878004,Protease-Responsive Peptide-Conjugated Mitochondrial-Targeting AIEgens for Selective Imaging and Inhibition of SARS-CoV-2-Infected Cells.,PMC9344892,"""Cheng Y, Clark AE, Zhou J, He T, Li Y, Borum RM, Creyer MN, Xu M, Jin Z, Zhou J, Yim W, Wu Z, Fajtová P, ""ODonoghue AJ"", Carlin AF, Jokerst JV""",doi:10.1021/acsnano.2c03219,"""SARS-CoV-2, main protease, mitochondrial targeting, peptide-conjugated AIEgen, virus theranostics""","""D006801, D000998, D000086782, D000086382, D010455, D000086402""","""Humans, Antiviral Agents, Coronavirus 3C Proteases, COVID-19, Peptides, SARS-CoV-2""",DE031114,ACS nano,2022
35377141,Peptide-Induced Fractal Assembly of Silver Nanoparticles for Visual Detection of Disease Biomarkers.,PMC9530071,"""Retout M, Mantri Y, Jin Z, Zhou J, Noël G, Donovan B, Yim W, Jokerst JV""",doi:10.1021/acsnano.1c11643,"""coalescence, colorimetric sensing, fractal structures, peptides, sensor-array silver nanomaterials""","""D006801, D012834, D053768, D003124, D057230, D017709, D000086402, D000086382, D010455, D010447, D015415""","""Humans, Silver, Metal Nanoparticles, Colorimetry, Limit of Detection, Fractals, SARS-CoV-2, COVID-19, Peptides, Peptide Hydrolases, Biomarkers""",DE031114,ACS nano,2022
37406055,Peptidic Sulfhydryl for Interfacing Nanocrystals and Subsequent Sensing of SARS-CoV-2 Protease.,PMC8791034,"""Jin Z, Yeung J, Zhou J, Cheng Y, Li Y, Mantri Y, He T, Yim W, Xu M, Wu Z, Fajtova P, Creyer MN, Moore C, Fu L, Penny WF, ""ODonoghue AJ"", Jokerst JV""",doi:10.1021/acs.chemmater.1c03871,,,,DE031114,Chemistry of materials : a publication of the American Chemical Society,2022
